date,code,open,high,low,close,preclose,volume,amount,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2020-06-02,sz.002986,47.9900,57.5900,47.9900,57.5900,39.9900,118264,6786533.0000,0.417300,1,44.011000,28.087014,6.447953,2.164622,149.831711,0
2020-06-03,sz.002986,63.3500,63.3500,63.3500,63.3500,57.5900,76407,4840383.0000,0.269600,1,10.001700,30.896204,7.092860,2.381122,164.817484,0
2020-06-04,sz.002986,69.6900,69.6900,58.0100,62.4800,63.3500,13381288,838971776.0000,47.217000,1,-1.373300,30.471899,6.995452,2.348421,162.554008,0
2020-06-05,sz.002986,60.0000,62.0000,59.5800,59.6000,62.4800,7244158,437878576.0000,25.561600,1,-4.609500,29.067304,6.672999,2.240171,155.061122,0
2020-06-08,sz.002986,58.7000,58.7000,55.3300,55.4800,59.6000,7305277,411962576.0000,25.777300,1,-6.912800,27.057954,6.211711,2.085314,144.342131,0
2020-06-09,sz.002986,55.0000,56.4400,54.6100,54.9600,55.4800,4440157,246023822.7200,15.667500,1,-0.937300,26.804346,6.153490,2.065769,142.989249,0
2020-06-10,sz.002986,54.4600,54.4600,52.5200,53.0000,54.9600,4438437,235693333.1600,15.661400,1,-3.566200,25.848442,5.934042,1.992099,137.889924,0
2020-06-11,sz.002986,52.9500,55.9700,52.9000,55.0400,53.0000,5560810,302146527.3900,19.621800,1,3.849100,26.843363,6.162447,2.068776,143.197385,0
2020-06-12,sz.002986,53.3000,57.2000,53.0100,55.7000,55.0400,5211070,287975836.6900,18.387700,1,1.199100,27.165249,6.236343,2.093583,144.914505,0
2020-06-15,sz.002986,55.1000,55.5000,53.3900,53.3900,55.7000,3870414,210307436.4800,13.657100,1,-4.147200,26.038647,5.977708,2.006758,138.904585,0
2020-06-16,sz.002986,53.6700,54.2500,52.9000,53.6200,53.3900,2813722,150424791.4800,9.928400,1,0.430800,26.150820,6.003459,2.015402,139.502976,0
2020-06-17,sz.002986,53.3800,54.2400,52.9800,53.8900,53.6200,2433706,130692455.9300,8.587500,1,0.503500,26.282501,6.033690,2.025551,140.205434,0
2020-06-18,sz.002986,53.6400,53.6400,53.0000,53.0900,53.8900,2259796,120282703.4600,7.973900,1,-1.484500,25.892335,5.944119,1.995482,138.124076,0
2020-06-19,sz.002986,52.8500,53.3600,52.6900,52.9000,53.0900,2104953,111489408.8100,7.427500,1,-0.357900,25.799671,5.922846,1.988340,137.629754,0
2020-06-22,sz.002986,53.0200,53.4500,52.6100,52.7000,52.9000,1779623,94232004.0600,6.279500,1,-0.378100,25.702130,5.900453,1.980823,137.109415,0
2020-06-23,sz.002986,52.7000,52.7200,50.9600,51.0200,52.7000,3496936,179957873.5200,12.339200,1,-3.187900,24.882783,5.712356,1.917677,132.738564,0
2020-06-24,sz.002986,50.9500,51.4000,50.1200,50.1600,51.0200,2242149,113301207.8800,7.911600,1,-1.685600,24.463356,5.616067,1.885352,130.501105,0
2020-06-29,sz.002986,50.1600,50.3500,49.1100,49.6000,50.1600,1927184,95450744.3100,6.800200,1,-1.116400,24.190240,5.553368,1.864304,129.044155,0
2020-06-30,sz.002986,49.6100,50.8600,49.6100,50.4500,49.6000,2004570,101123834.4900,7.073300,1,1.713700,24.604790,5.648537,1.896252,131.255597,0
