date,code,open,high,low,close,preclose,volume,amount,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
2019-12-10,sh.601658,5.6000,5.6500,5.5300,5.6100,5.5000,1619472912,9048900573.0000,73.673700,1,2.000000,8.074895,1.045026,1.758561,-13.065255
2019-12-11,sh.601658,5.5800,5.6400,5.5500,5.6300,5.6100,463386272,2586905784.0000,21.080600,1,0.356500,8.103682,1.048752,1.764831,-13.111834
2019-12-12,sh.601658,5.6000,5.6100,5.5600,5.6000,5.6300,224711848,1255128504.0000,7.555900,1,-0.532900,8.133045,1.052552,1.771226,-13.159344
2019-12-13,sh.601658,5.6100,5.6100,5.5800,5.5900,5.6000,157036724,878386009.0000,5.280300,1,-0.178600,8.118522,1.050672,1.768063,-13.135845
2019-12-16,sh.601658,5.5900,5.5900,5.5600,5.5800,5.5900,143874990,801426854.0000,4.837800,1,-0.178900,8.103999,1.048793,1.764900,-13.112346
2019-12-17,sh.601658,5.5800,6.1400,5.5600,5.8500,5.5800,456119856,2651899251.0000,15.337000,1,4.838700,8.496128,1.099541,1.850298,-13.746814
2019-12-18,sh.601658,5.7800,5.8400,5.7100,5.7200,5.8500,220064205,1268629909.0000,7.399600,1,-2.222200,8.307325,1.075107,1.809180,-13.441330
2019-12-19,sh.601658,5.7300,5.8300,5.7000,5.7400,5.7200,141028076,811746305.0000,4.742000,1,0.349700,8.336371,1.078866,1.815506,-13.488327
2019-12-20,sh.601658,5.7500,5.8400,5.7200,5.7500,5.7400,176243052,1017976197.0000,5.926100,1,0.174200,8.350895,1.080745,1.818669,-13.511826
2019-12-23,sh.601658,5.7600,5.8800,5.7400,5.8200,5.7500,170998638,994892791.0000,5.749800,1,1.217400,8.452558,1.093902,1.840809,-13.676318
2019-12-24,sh.601658,5.8300,5.8300,5.7400,5.8000,5.8200,131189734,758582939.0000,4.411200,1,-0.343600,8.423511,1.090143,1.834484,-13.629320
2019-12-25,sh.601658,5.7800,5.8000,5.6800,5.6900,5.8000,156835820,898134028.0000,5.273600,1,-1.896600,8.263755,1.069468,1.799692,-13.370833
2019-12-26,sh.601658,5.6800,5.6900,5.6300,5.6900,5.6900,118575693,670892421.0000,3.987100,1,0.000000,8.263755,1.069468,1.799692,-13.370833
2019-12-27,sh.601658,5.6800,5.7600,5.6700,5.7400,5.6900,130905932,749825057.0000,4.401700,1,0.878700,8.336371,1.078866,1.815506,-13.488327
2019-12-30,sh.601658,5.7100,5.9100,5.6600,5.8100,5.7400,178952754,1039987974.0000,6.017300,1,1.219500,8.438034,1.092023,1.837647,-13.652819
2019-12-31,sh.601658,5.8000,5.8800,5.7900,5.8600,5.8100,122443080,715889070.0000,4.117100,1,0.860600,8.510651,1.101420,1.853461,-13.770313
2020-01-02,sh.601658,5.9000,6.0200,5.9000,5.9300,5.8600,151823798,905022463.0000,5.105100,1,1.194500,8.612314,1.114577,1.875601,-13.934805
2020-01-03,sh.601658,5.9300,6.0100,5.8500,5.9800,5.9300,136428136,808288531.0000,4.587400,1,0.843200,8.684930,1.123975,1.891416,-14.052299
2020-01-06,sh.601658,5.9400,5.9700,5.8700,5.9100,5.9800,88407694,523720072.0000,2.972700,1,-1.170600,8.583267,1.110818,1.869276,-13.887807
2020-01-07,sh.601658,5.8900,5.9400,5.8800,5.9200,5.9100,53421082,315750308.0000,1.796300,1,0.169200,8.597791,1.112698,1.872438,-13.911306
2020-01-08,sh.601658,5.8800,5.8900,5.8100,5.8500,5.9200,92108345,539743079.0000,3.097100,1,-1.182400,8.496128,1.099541,1.850298,-13.746814
2020-01-09,sh.601658,5.8500,5.8800,5.8000,5.8700,5.8500,61659192,360115912.0000,2.073300,1,0.341900,8.525174,1.103300,1.856624,-13.793812
2020-01-10,sh.601658,5.8500,5.9200,5.8200,5.9000,5.8700,69474844,407778105.0000,2.336100,1,0.511100,8.568744,1.108939,1.866113,-13.864309
2020-01-13,sh.601658,5.8700,5.8800,5.7600,5.7900,5.9000,173463656,1007044510.0000,5.832700,1,-1.864400,8.408988,1.088263,1.831321,-13.605821
2020-01-14,sh.601658,5.7900,5.7900,5.7500,5.7600,5.7900,107426682,619921387.0000,3.612200,1,-0.518100,8.365418,1.082625,1.821832,-13.535325
2020-01-15,sh.601658,5.7500,5.7600,5.7000,5.7000,5.7600,66690964,382018233.0000,2.242500,1,-1.041700,8.278278,1.071347,1.802855,-13.394332
2020-01-16,sh.601658,5.7200,5.7300,5.6400,5.6400,5.7000,81947017,464438544.0000,2.755500,1,-1.052600,8.191138,1.060070,1.783877,-13.253339
2020-01-17,sh.601658,5.6600,5.7100,5.6600,5.6700,5.6400,57003597,323989585.0000,1.916700,1,0.531900,8.234708,1.065709,1.793366,-13.323836
2020-01-20,sh.601658,5.6800,5.7300,5.6800,5.7200,5.6700,51514468,294220504.0000,1.732200,1,0.881800,8.307325,1.075107,1.809180,-13.441330
2020-01-21,sh.601658,5.7100,5.7300,5.6600,5.6600,5.7200,43568345,247628118.0000,1.465000,1,-1.049000,8.220185,1.063829,1.790203,-13.300337
2020-01-22,sh.601658,5.6500,5.7300,5.6000,5.7100,5.6600,67394500,382449595.0000,2.266100,1,0.883400,8.292802,1.073227,1.806018,-13.417831
2020-01-23,sh.601658,5.6800,5.6900,5.5700,5.6700,5.7100,64874834,365265665.0000,2.181400,1,-0.700500,8.234708,1.065709,1.793366,-13.323836
2020-02-03,sh.601658,5.3800,5.5600,5.2100,5.5000,5.6700,176961451,953108932.0000,5.950300,1,-2.998200,7.987812,1.033756,1.739597,-12.924355
2020-02-04,sh.601658,5.4200,5.5500,5.4200,5.5400,5.5000,96911067,531487857.0000,3.258600,1,0.727300,8.045905,1.041275,1.752248,-13.018351
2020-02-05,sh.601658,5.5100,5.5400,5.4600,5.5000,5.5400,85526603,470326376.0000,2.875800,1,-0.722000,7.987812,1.033756,1.739597,-12.924355
2020-02-06,sh.601658,5.5100,5.5200,5.4700,5.5200,5.5000,75845643,417002587.0000,2.550300,1,0.363600,8.016859,1.037515,1.745922,-12.971353
