date,code,open,high,low,close,preclose,volume,amount,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2018-06-20,sh.601066,6.5000,7.8000,6.5000,7.8000,5.4200,305433,2371717.0000,0.076358,1,43.911440,14.910986,1.495705,5.210020,-8.110681,0
2018-06-21,sh.601066,8.5800,8.5800,8.5800,8.5800,7.8000,274719,2357089.0000,0.068680,1,9.999996,16.402085,1.645276,5.731022,-8.921749,0
2018-06-22,sh.601066,9.4400,9.4400,9.4400,9.4400,8.5800,937087,8846101.0000,0.234272,1,10.023310,18.046116,1.810187,6.305461,-9.816004,0
2018-06-25,sh.601066,10.3800,10.3800,10.3800,10.3800,9.4400,1903204,19755258.0000,0.475801,1,9.957633,19.843081,1.990438,6.933335,-10.793445,0
2018-06-26,sh.601066,11.4200,11.4200,11.4200,11.4200,10.3800,10072267,115025289.0000,2.518067,1,10.019270,21.831213,2.189866,7.628004,-11.874869,0
2018-06-27,sh.601066,11.9000,11.9800,11.0300,11.8000,11.4200,236239345,2713629696.0000,59.059836,1,3.327497,22.557645,2.262734,7.881826,-12.270005,0
2018-06-28,sh.601066,11.3900,11.9000,10.8000,11.0500,11.8000,158245177,1789632858.0000,39.561294,1,-6.355932,21.123897,2.118916,7.380862,-11.490131,0
2018-06-29,sh.601066,10.6000,10.9500,10.2300,10.7600,11.0500,125912980,1335582599.0000,31.478245,1,-2.624434,20.569514,2.063306,7.187156,-11.188580,0
2018-07-02,sh.601066,10.8600,10.9700,10.1600,10.2900,10.7600,98034397,1043840161.0000,24.508599,1,-4.368032,19.671032,1.973180,6.873219,-10.699860,0
2018-07-03,sh.601066,10.1800,10.6300,10.1700,10.3700,10.2900,82331028,856714973.0000,20.582757,1,0.777453,19.823965,1.988521,6.926655,-10.783046,0
2018-07-04,sh.601066,10.2500,10.2500,9.3300,9.3300,10.3700,115773745,1114403614.0000,28.943436,1,-10.028930,17.835833,1.789094,6.231986,-9.701622,0
2018-07-05,sh.601066,9.4500,9.9500,9.3400,9.4800,9.3300,104375148,1008396354.0000,26.093787,1,1.607713,18.122583,1.817857,6.332179,-9.857597,0
2018-07-06,sh.601066,9.3100,9.7600,8.9200,9.3500,9.4800,104854656,973944776.0000,26.213664,1,-1.371299,17.874067,1.792929,6.245345,-9.722419,0
2018-07-09,sh.601066,9.4200,9.5800,9.2200,9.4100,9.3500,73926578,693241755.0000,18.481644,1,0.641706,17.988766,1.804434,6.285422,-9.784809,0
2018-07-10,sh.601066,9.3700,9.7200,9.2800,9.6900,9.4100,86712605,823437591.0000,21.678151,1,2.975555,18.524033,1.858126,6.472448,-10.075961,0
2018-07-11,sh.601066,9.4000,9.6700,9.1600,9.3400,9.6900,73275205,688335678.0000,18.318801,1,-3.611965,17.854950,1.791011,6.238665,-9.712021,0
2018-07-12,sh.601066,9.2200,10.2700,9.2200,10.2700,9.3400,103332452,1020425378.0000,25.833113,1,9.957176,19.632798,1.969345,6.859860,-10.679063,0
2018-07-13,sh.601066,10.1000,10.2400,9.7600,9.8700,10.2700,113154535,1123923400.0000,28.288634,1,-3.894845,18.868132,1.892642,6.592680,-10.263131,0
2018-07-16,sh.601066,9.7800,9.8700,9.4500,9.6300,9.8700,63488346,612093013.0000,15.872086,1,-2.431609,18.409333,1.846621,6.432371,-10.013572,0
2018-07-17,sh.601066,9.5500,9.8000,9.4800,9.7900,9.6300,58132208,561352371.0000,14.533052,1,1.661473,18.715199,1.877302,6.539244,-10.179945,0
2018-07-18,sh.601066,9.7900,9.8800,9.3200,9.3400,9.7900,65894116,634615574.0000,16.473529,1,-4.596525,17.854950,1.791011,6.238665,-9.712021,0
2018-07-19,sh.601066,9.2600,9.5100,9.2100,9.4100,9.3400,43653004,408443545.0000,10.913251,1,0.749461,17.988766,1.804434,6.285422,-9.784809,0
2018-07-20,sh.601066,9.3500,10.2300,9.2000,9.8200,9.4100,106924993,1042229506.0000,26.731248,1,4.357065,18.772549,1.883055,6.559282,-10.211139,0
2018-07-23,sh.601066,9.5900,9.8100,9.4300,9.6600,9.8200,67544749,648994268.0000,16.886187,1,-1.629326,18.466683,1.852373,6.452410,-10.044766,0
2018-07-24,sh.601066,9.6100,10.6300,9.6100,10.2900,9.6600,158931828,1642208767.0000,39.732957,1,6.521740,19.671032,1.973180,6.873219,-10.699860,0
2018-07-25,sh.601066,10.0800,10.5800,10.0500,10.5200,10.2900,119054107,1227265369.0000,29.763527,1,2.235185,20.110714,2.017284,7.026848,-10.939021,0
2018-07-26,sh.601066,10.4300,10.6700,10.1900,10.2300,10.5200,83991423,871791932.0000,20.997856,1,-2.756663,19.556332,1.961675,6.833142,-10.637470,0
2018-07-27,sh.601066,10.1000,10.3500,9.9300,10.0200,10.2300,60563838,613379124.0000,15.140960,1,-2.052777,19.154882,1.921406,6.692872,-10.419106,0
2018-07-30,sh.601066,9.9100,10.3200,9.9000,10.1900,10.0200,55133665,557866489.0000,13.783416,1,1.696598,19.479865,1.954005,6.806424,-10.595877,0
2018-07-31,sh.601066,10.1400,10.2100,9.7400,9.8900,10.1900,55008040,547029938.0000,13.752010,1,-2.944055,18.906366,1.896478,6.606039,-10.283928,0
2018-08-01,sh.601066,9.9000,10.1700,9.7300,9.7600,9.8900,57417687,572115508.0000,14.354422,1,-1.314460,18.657849,1.871549,6.519205,-10.148750,0
